SID,SCHID,GENDER,Y1S3_1,Y1S3_2,Y1S3_3,Y1S3_4,Y1S3_5,Y1S3_6,Y1S3_7,Y1S3_8,Y1S3_9,Y1S3_10,Y1S3_11,Y1S3_12,Y1S3_13,Y1S3_14,Y1S3_15,Y1S3_16,Y1S3_17,Y1S3_18,Y1S3_19,Y1S3_20,Y1S3_21,Y1S3_22,Y1S3_23,Y1S3_24,Y1S3_25,Y1S3_26,Y1S3_27,Y1S3_28,Y1S3_29,Y1S3_30,Y1L3_1,Y1L3_2,Y1L3_3,Y1L3_4,Y1L4_11,Y1L4_12,Y1L4_13,Y1L4_14,Y1L4_15,Y1L4_6,Y1L4_7,Y1L4_8,Y1L4_9,Y1L4_10,Y1L4_1,Y1L4_2,Y1L4_3,Y1L4_4,Y1L4_5,Y1S5_1,Y1S5_2,Y1S5_3,Y1KOR_S,Y1ENG_S,Y1MAT_S,Y1KOR_V,Y1ENG_V,Y1MAT_V
31,1,1,5,3,3,4,3,5,3,5,5,5,4,5,5,5,3,5,5,3,4,3,3,3,5,5,5,5,4,5,5,5,4,3,3,4,2,3,3,2,2,4,4,4,4,4,3,3,2,4,3,5,5,5,58,52,45,273,294,276
32,1,2,5,3,4,5,3,4,3,5,5,5,5,4,4,5,4,3,2,2,1,1,1,1,1,4,4,3,3,5,4,4,3,3,3,4,3,4,3,2,2,3,3,3,4,3,4,4,3,3,3,5,5,5,88,100,95,370,511,402
33,1,2,4,4,4,4,3,3,3,3,4,4,4,5,5,4,4,4,5,3,3,4,3,2,3,3,3,3,3,4,4,4,3,3,3,3,2,2,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,5,77,61,80,323,308,341
34,1,2,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,3,5,2,2,3,3,5,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,3,2,3,3,3,4,4,4,4,3,5,4,5,94,94,90,418,381,372
35,1,1,2,3,2,2,3,2,2,1,2,2,2,3,3,2,1,1,1,2,3,1,3,3,1,3,3,3,2,2,2,3,3,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,4,1,5,64,25,55,293,218,295
36,1,1,4,3,3,5,4,3,3,4,4,3,3,2,4,4,-1,3,3,2,3,3,3,3,3,3,4,2,4,2,3,4,3,2,3,4,2,2,3,2,3,3,2,3,3,3,2,2,3,2,2,2,3,2,67,55,60,299,299,303
37,1,1,4,3,3,5,3,5,3,3,3,3,5,5,4,5,5,5,3,1,1,1,2,2,2,3,3,3,3,4,4,4,4,3,2,3,3,3,3,2,3,2,2,2,2,2,3,2,2,2,3,3,3,4,49,16,45,253,151,276
38,1,1,4,3,3,3,3,2,3,4,3,4,2,3,4,3,4,4,2,3,1,3,1,3,2,3,2,2,3,3,3,3,2,2,2,3,2,2,4,3,3,2,2,3,2,3,1,2,2,1,2,4,3,1,76,55,20,323,299,179
39,1,2,5,3,5,5,3,4,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,5,5,5,5,3,5,5,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,5,4,5,65,85,75,293,352,330
40,1,2,5,3,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,2,3,3,4,3,3,4,4,3,4,3,4,4,3,3,3,3,3,3,3,2,3,2,3,3,2,2,3,3,3,3,3,5,5,5,82,97,85,343,400,354
41,1,2,5,3,4,5,4,4,3,4,3,3,3,3,3,2,3,1,1,3,3,2,2,3,3,2,2,2,2,2,4,3,3,3,3,3,3,2,3,3,3,2,2,3,2,3,3,2,2,2,3,5,4,3,68,58,35,299,304,254
42,1,1,5,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,2,3,1,5,4,1,3,5,2,3,4,4,4,4,2,1,2,2,2,3,2,2,3,2,3,2,3,3,2,4,2,2,2,2,1,10,25,45,157,218,276
43,1,1,3,3,3,3,3,3,3,3,4,5,4,4,5,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2,2,2,4,2,3,36,22,25,213,195,218
44,1,1,5,4,3,5,5,5,3,4,3,3,3,4,4,4,3,3,2,1,3,2,4,3,2,4,5,3,4,1,4,3,3,3,2,3,3,4,4,4,4,3,2,2,3,3,3,3,3,2,2,4,2,2,74,40,40,315,271,266
45,1,2,4,3,2,4,3,3,2,4,3,3,3,5,2,3,3,3,2,3,2,3,3,2,2,2,3,2,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,3,77,67,50,323,318,286
46,1,2,5,5,3,3,5,4,3,4,4,4,4,5,4,4,5,5,3,3,3,3,4,3,3,3,5,3,3,3,4,4,3,4,2,4,4,3,4,4,4,1,2,3,2,3,2,2,4,1,3,4,2,2,53,25,35,266,218,254
47,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,3,1,3,3,4,3,3,3,3,5,5,4,4,3,4,4,4,4,4,4,2,2,2,2,3,4,4,4,4,4,5,4,5,83,70,85,343,323,354
48,1,1,4,4,4,4,3,4,3,5,5,4,5,4,4,4,4,4,4,4,5,5,5,5,5,3,4,5,3,3,4,4,3,4,2,4,2,2,2,2,2,3,3,3,3,3,3,2,3,2,3,3,5,4,56,70,60,273,323,303
49,1,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4,4,4,3,4,5,5,5,5,5,5,5,5,5,4,3,2,4,4,4,4,3,4,2,1,2,2,2,3,4,4,4,4,5,3,5,85,85,85,355,352,354
50,1,1,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,3,2,2,5,5,5,5,5,5,5,4,4,3,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,2,5,4,4,88,40,45,370,271,276
51,2,1,4,4,4,4,3,4,3,3,3,4,4,4,5,5,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,2,2,3,2,2,2,2,3,2,2,2,2,3,2,2,4,5,5,58,73,65,273,329,312
52,2,1,3,3,3,3,3,3,3,2,3,4,3,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,1,3,3,4,3,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,2,4,4,5,49,61,65,260,308,312
53,2,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,5,5,5,5,4,4,3,3,5,5,2,5,5,4,4,4,4,3,2,3,3,2,4,4,4,3,3,4,4,4,3,3,5,5,5,85,88,75,355,360,330
54,2,2,4,4,3,4,4,4,3,4,5,5,5,5,5,5,5,5,3,3,5,3,3,3,2,3,4,3,3,4,4,4,3,3,2,3,3,3,4,4,3,3,2,3,3,3,3,2,3,2,2,5,5,4,79,82,90,332,346,372
55,2,1,4,4,4,5,4,3,3,2,4,4,4,5,2,5,3,3,3,4,4,4,4,3,2,3,3,3,5,2,5,5,3,3,2,4,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,5,5,5,77,70,85,323,323,354
56,2,2,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,4,4,4,4,4,4,4,3,4,4,4,2,2,3,1,2,4,4,4,4,4,4,4,4,3,3,2,5,5,61,70,50,286,323,286
57,2,2,4,4,3,5,3,3,4,3,3,4,3,3,3,4,3,3,2,3,3,3,2,3,2,3,3,3,3,1,4,3,3,3,2,3,2,2,3,2,2,2,2,3,2,2,2,2,3,2,2,3,4,4,82,76,95,343,334,402
58,2,2,4,3,3,4,3,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,4,3,3,4,3,3,3,3,4,5,4,4,4,4,4,4,3,4,4,4,4,3,3,3,4,3,3,3,3,4,3,3,85,64,60,355,313,303
59,2,1,5,5,5,5,4,4,4,4,4,4,5,4,4,4,4,3,3,5,3,4,4,3,3,3,3,4,5,4,4,3,4,4,3,4,2,2,3,2,2,3,3,3,3,3,4,4,4,4,4,4,5,5,68,76,70,299,334,321
60,2,1,4,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,2,2,2,3,3,2,2,2,3,3,3,4,4,4,65,91,95,293,369,402
61,2,1,4,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,3,2,2,4,4,4,4,3,5,4,3,3,3,3,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,5,5,5,88,94,95,370,381,402
62,2,1,5,3,5,4,4,-1,2,3,5,5,4,5,3,5,4,2,3,5,1,5,5,2,1,1,3,4,3,1,5,4,3,2,2,3,3,3,3,2,3,2,2,2,2,2,2,2,3,2,2,5,4,4,45,76,40,246,334,266
63,2,1,5,4,5,5,4,5,3,4,5,4,5,4,5,4,2,3,2,2,4,3,2,4,3,3,3,4,4,4,5,5,4,4,4,4,4,4,4,4,4,3,3,2,2,3,2,3,4,2,2,5,5,5,80,70,90,332,323,372
64,2,1,4,3,3,4,3,3,3,3,3,4,3,4,4,4,3,4,3,3,4,3,3,3,3,2,3,2,2,3,3,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,47,28,30,246,233,239
65,2,1,4,4,4,3,3,3,3,4,3,4,4,4,5,5,5,5,5,3,2,2,4,2,2,4,2,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,5,5,5,73,64,65,315,313,312
66,2,1,5,4,4,5,4,5,4,5,5,5,5,5,4,5,5,5,5,4,4,3,5,5,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,5,5,5,91,97,100,390,400,519
67,2,1,3,5,2,3,4,5,3,2,3,4,4,4,5,4,2,3,4,2,2,2,1,2,2,3,2,3,3,1,2,3,2,3,3,4,2,2,3,2,3,3,3,3,3,2,2,2,3,3,1,5,1,1,83,40,65,343,271,312
68,2,2,5,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,3,2,2,1,2,2,3,4,3,5,3,4,4,4,4,4,4,3,3,3,2,3,2,1,3,3,2,4,2,4,4,4,5,5,5,81,82,65,332,346,312
69,2,2,4,4,4,5,3,2,3,2,3,5,5,5,5,5,5,4,5,4,5,5,5,4,3,4,5,4,5,5,5,5,3,3,2,3,4,4,4,4,4,3,1,3,2,2,2,2,1,1,2,5,4,2,82,67,45,343,318,276
70,2,2,5,4,4,5,4,4,4,4,4,5,4,5,4,5,4,3,5,-1,4,3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,2,2,2,3,2,3,2,3,3,3,5,5,5,97,85,95,468,352,402
71,2,1,4,4,5,3,4,4,3,4,5,5,5,5,5,4,3,3,3,5,5,5,5,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,4,4,-1,3,3,3,5,5,5,55,61,60,273,308,303
72,2,1,4,4,4,4,4,4,4,4,5,4,1,2,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,1,2,2,2,4,3,3,3,3,2,2,2,2,2,3,5,2,41,58,45,231,304,276
73,2,1,4,3,2,5,4,3,2,4,5,5,5,5,4,5,5,5,5,2,3,3,3,3,2,4,4,2,3,3,4,4,3,3,2,3,4,2,3,3,3,2,3,3,3,2,3,3,2,2,3,5,4,4,88,85,75,370,352,330
74,2,1,4,5,4,5,5,4,4,4,3,4,5,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,2,3,3,4,4,3,3,3,2,4,3,4,3,2,3,3,2,2,2,3,3,2,4,4,3,74,49,40,315,288,266
75,2,1,4,5,4,4,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,3,4,2,1,3,3,4,4,3,3,3,2,3,3,2,2,2,3,-1,2,3,3,3,3,3,2,2,3,2,3,4,4,3,85,100,85,355,511,354
76,2,2,5,5,4,5,5,3,5,4,5,5,4,4,5,4,3,4,4,3,4,4,4,4,4,4,4,5,5,5,4,4,3,3,3,4,4,4,3,3,3,4,4,3,4,4,3,3,3,2,2,5,5,5,73,97,75,315,400,330
77,2,1,5,5,5,5,5,5,3,3,3,3,3,3,5,5,4,2,2,3,5,2,1,3,3,2,2,3,5,3,3,3,4,4,4,4,4,4,4,4,4,2,2,3,2,3,4,4,4,4,4,5,5,5,91,94,95,390,381,402
78,2,1,3,3,2,4,3,3,2,3,3,4,4,5,4,4,5,5,5,3,5,2,2,1,1,2,5,3,2,2,4,4,3,3,2,3,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,4,5,5,73,88,55,315,360,295
79,2,1,5,4,4,4,5,5,4,4,4,4,5,4,4,4,3,3,3,3,5,5,3,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,4,4,5,5,5,92,88,95,390,360,402
80,2,1,5,4,3,4,4,3,4,1,4,4,4,4,4,4,3,4,3,2,3,3,4,3,3,3,3,3,4,1,4,4,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,4,4,4,94,82,90,418,346,372
81,2,2,3,3,4,4,3,5,4,5,5,5,5,5,5,4,5,4,5,4,3,2,1,4,3,3,3,5,4,1,3,4,3,3,3,3,3,4,4,4,4,2,2,2,3,3,3,3,4,4,4,5,5,5,92,91,90,390,369,372
82,2,2,4,3,4,3,4,3,4,4,5,5,4,5,4,5,5,4,3,3,3,4,3,3,3,4,3,3,3,3,3,4,3,3,3,4,3,3,3,2,2,4,4,4,4,4,3,3,3,3,3,4,5,4,82,100,70,343,511,321
83,2,1,5,4,5,2,3,4,3,4,3,5,4,4,4,2,3,2,2,2,5,2,1,5,4,2,3,3,3,2,2,4,3,2,2,3,3,2,2,2,2,3,2,3,3,2,3,2,2,2,2,4,5,2,66,43,35,286,277,254
84,2,1,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,64,49,55,293,288,295
85,2,1,1,1,1,1,4,2,3,2,3,3,4,3,2,3,3,3,3,3,2,3,1,2,2,3,3,3,3,4,1,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,3,3,3,3,5,5,5,92,97,95,390,400,402
86,2,2,5,5,4,5,5,4,4,3,3,4,4,3,4,4,3,3,2,3,4,2,5,4,4,3,3,2,3,1,3,3,3,3,3,4,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3,4,4,3,42,49,35,239,288,254
87,2,1,5,5,5,2,4,5,3,5,5,5,5,5,3,5,5,5,5,2,4,4,3,4,3,3,4,2,5,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,37,16,40,223,151,266
88,2,1,4,4,4,4,4,4,4,3,4,4,3,3,2,4,3,2,2,4,3,3,4,3,2,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3,5,4,5,94,76,90,418,334,372
89,2,1,4,3,3,4,4,3,3,3,5,5,5,5,5,5,4,4,4,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,4,3,47,34,25,253,255,218
90,2,2,4,3,3,4,3,2,3,2,3,3,3,3,3,3,2,2,2,3,2,2,1,1,2,2,3,2,2,2,3,3,3,3,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,61,40,45,286,271,276
91,2,2,4,3,3,4,3,2,3,2,4,4,4,3,3,4,3,3,2,2,3,2,2,2,2,2,3,3,4,2,3,3,3,2,2,3,3,3,3,2,3,3,2,2,3,3,2,2,3,2,2,4,3,3,56,52,30,273,294,239
92,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,2,2,3,3,2,2,2,2,2,3,3,4,3,3,2,2,3,3,2,3,3,4,61,61,45,279,308,276
93,2,1,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,5,2,3,3,1,1,4,2,3,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,3,2,3,3,2,3,54,34,30,266,255,239
94,2,2,5,5,4,5,5,4,5,3,5,5,5,4,5,5,5,4,2,4,5,4,1,3,3,5,4,4,5,1,3,4,3,4,3,4,3,3,2,3,3,3,3,3,3,4,3,3,2,4,4,5,5,5,83,79,85,343,340,354
95,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
96,2,1,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,85,97,100,355,400,519
97,2,1,5,4,4,4,3,2,3,3,4,4,5,4,3,5,1,2,1,4,5,5,4,4,3,2,2,1,3,1,5,3,3,3,2,3,3,3,3,3,2,2,2,2,2,3,2,3,3,3,3,5,4,5,53,64,30,266,313,239
98,2,2,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,4,5,5,5,5,5,5,2,3,3,3,3,3,2,3,3,2,2,4,4,3,4,4,3,2,3,3,3,4,5,1,57,40,30,273,271,239
99,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,2,3,3,2,2,3,3,2,2,1,1,2,3,2,2,3,3,-1,-1,-1,67,40,80,299,271,341
100,2,2,4,3,4,4,4,3,2,4,4,5,4,5,5,5,4,5,4,3,3,3,2,2,3,5,4,4,4,3,4,4,3,3,3,3,4,3,4,4,4,3,4,4,3,3,3,3,4,3,3,5,4,4,77,55,40,323,299,266
101,3,1,5,5,3,5,4,4,3,4,2,2,3,2,3,4,2,3,1,5,2,5,5,2,4,1,2,1,2,4,2,1,3,2,3,3,3,3,3,3,3,3,4,3,2,3,3,2,3,2,2,3,4,3,58,64,80,279,313,341
102,3,1,3,3,3,4,3,3,3,3,3,4,4,3,3,3,4,5,5,3,3,4,3,3,2,4,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,37,15,231,264,169
103,3,1,4,4,3,4,4,4,4,3,4,5,5,3,3,5,5,5,3,1,3,1,1,3,1,2,2,2,3,1,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,1,50,46,35,260,283,254
104,3,1,4,4,4,5,4,3,4,3,5,4,4,5,4,3,4,5,4,3,3,3,3,3,3,3,4,2,3,2,4,4,3,3,2,3,2,3,3,2,3,2,3,3,2,3,2,3,3,2,3,4,5,5,56,61,70,273,308,321
105,3,1,5,4,3,4,3,3,3,4,5,4,5,5,5,4,3,4,5,2,4,1,1,3,3,3,4,5,2,1,4,5,3,2,2,3,2,3,2,4,2,1,2,2,2,3,2,1,3,2,2,4,3,2,64,49,55,293,288,295
