SID,SCHID,GENDER,Y1S3_1,Y1S3_2,Y1S3_3,Y1S3_4,Y1S3_5,Y1S3_6,Y1S3_7,Y1S3_8,Y1S3_9,Y1S3_10,Y1S3_11,Y1S3_12,Y1S3_13,Y1S3_14,Y1S3_15,Y1S3_16,Y1S3_17,Y1S3_18,Y1S3_19,Y1S3_20,Y1S3_21,Y1S3_22,Y1S3_23,Y1S3_24,Y1S3_25,Y1S3_26,Y1S3_27,Y1S3_28,Y1S3_29,Y1S3_30,Y1L3_1,Y1L3_2,Y1L3_3,Y1L3_4,Y1L4_11,Y1L4_12,Y1L4_13,Y1L4_14,Y1L4_15,Y1L4_6,Y1L4_7,Y1L4_8,Y1L4_9,Y1L4_10,Y1L4_1,Y1L4_2,Y1L4_3,Y1L4_4,Y1L4_5,Y1S5_1,Y1S5_2,Y1S5_3,Y1KOR_S,Y1ENG_S,Y1MAT_S,Y1KOR_V,Y1ENG_V,Y1MAT_V
1,1,2,5,5,5,5,5,5,5,3,4,5,5,4,5,4,4,4,4,4,3,2,2,3,3,3,4,3,3,3,5,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,4,3,4,70,58,60,307,304,303
2,1,1,5,5,5,5,5,5,3,4,4,5,5,4,4,5,5,5,5,4,4,4,4,3,3,4,5,5,5,3,4,5,3,4,4,4,3,2,3,3,3,3,3,4,3,3,4,4,3,4,4,5,5,5,85,94,90,355,381,372
3,1,1,2,4,2,2,3,2,2,2,4,3,4,4,3,3,3,3,3,2,2,2,2,2,1,2,1,3,2,3,1,3,3,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,3,4,65,40,20,293,271,179
4,1,1,5,3,3,3,3,4,2,3,4,4,5,3,4,4,3,2,3,3,3,3,1,2,1,5,5,4,5,3,3,4,3,2,2,3,2,2,3,2,2,2,2,3,3,3,2,2,3,3,3,4,4,5,78,94,80,323,381,341
5,1,1,5,5,5,5,5,5,3,2,4,5,5,5,5,5,4,5,3,4,3,3,3,3,3,4,4,4,5,3,4,4,3,4,2,3,2,2,3,3,3,2,2,3,3,3,1,2,3,2,2,5,4,4,76,61,55,323,308,295
6,1,2,4,3,3,5,3,5,3,5,5,5,5,5,5,5,5,5,3,3,2,1,3,2,2,3,1,4,4,1,4,5,3,4,2,3,3,3,3,4,4,3,3,3,-1,2,4,3,3,4,4,5,3,5,88,73,65,370,329,312
7,1,2,5,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,2,1,1,1,4,1,1,1,5,3,3,1,5,5,3,3,3,3,3,3,3,3,3,2,2,3,2,3,2,3,3,3,2,4,3,4,82,70,75,343,323,330
8,1,1,5,4,4,4,4,4,3,3,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,4,3,4,5,3,4,4,4,4,4,4,3,3,4,3,3,3,3,4,4,3,4,4,4,4,3,5,5,5,76,79,90,323,340,372
9,1,2,4,3,3,3,3,3,3,2,2,3,3,2,4,4,1,4,1,3,5,2,4,4,3,3,5,4,4,1,4,4,4,4,3,4,3,3,4,3,3,4,3,4,4,3,3,3,4,3,3,4,5,4,79,91,70,332,369,321
10,1,1,5,5,4,5,-1,5,5,4,5,5,5,5,3,5,5,5,4,3,1,1,3,1,1,4,5,4,4,5,5,4,4,3,3,3,4,3,3,3,3,2,2,3,2,3,4,3,4,4,4,5,2,5,82,52,75,343,294,330
11,1,1,3,3,3,3,3,3,4,4,4,4,4,5,4,5,4,5,4,4,2,2,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,3,3,3,3,2,3,3,3,2,3,3,2,3,-1,25,-1,-1,218,-1
12,1,2,5,4,4,3,4,3,5,3,4,4,4,3,3,5,3,3,2,3,4,4,2,3,3,3,3,4,4,2,5,4,4,4,2,4,4,3,3,4,4,3,3,4,4,3,3,2,4,2,3,5,4,4,57,46,30,273,283,239
13,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,1,1,4,4,4,4,4,4,3,3,5,4,5,5,5,5,4,4,3,3,4,4,3,3,3,3,3,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,5,5,50,61,45,260,308,276
15,1,1,5,3,4,5,3,3,3,5,5,5,5,4,5,5,2,2,1,2,1,1,1,1,1,1,4,3,2,2,5,5,3,3,2,3,3,3,3,2,3,2,2,2,2,2,3,3,3,2,3,2,2,3,56,28,40,273,233,266
16,1,2,3,3,2,3,3,3,3,3,4,4,4,4,4,4,3,3,2,2,2,1,1,2,2,3,3,3,3,4,3,2,3,-1,2,3,2,3,3,2,2,2,2,3,3,3,2,2,3,3,3,4,3,3,78,85,80,323,352,341
17,1,2,4,4,4,4,4,3,3,3,4,5,5,4,-1,5,4,3,3,2,3,2,1,3,2,4,4,5,5,2,4,3,3,3,2,3,4,3,3,3,3,3,3,4,3,3,3,2,4,3,3,5,5,4,76,76,80,323,334,341
18,1,2,2,3,2,2,3,2,3,3,3,4,4,3,5,4,1,3,1,1,1,1,1,1,1,3,3,3,3,1,2,3,3,3,2,3,3,3,2,2,2,3,2,3,3,1,2,1,3,1,2,5,3,5,76,79,80,323,340,341
19,1,2,4,4,3,4,4,4,3,3,4,5,5,5,5,5,4,4,3,4,3,4,4,3,3,4,4,4,4,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,68,82,45,299,346,276
20,1,2,3,3,4,3,3,2,3,2,5,5,5,5,4,5,5,5,4,4,3,3,4,2,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,3,2,2,3,2,3,3,3,3,4,5,4,5,86,94,85,355,381,354
21,1,1,5,4,5,5,4,5,4,5,5,5,4,4,5,4,5,5,4,3,3,3,4,4,4,3,3,2,4,3,3,3,4,4,4,4,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,5,1,5,57,40,85,273,271,354
22,1,1,4,4,4,4,4,4,3,4,1,2,2,2,3,3,3,3,1,2,1,1,1,1,1,2,2,2,1,2,2,2,3,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,68,55,55,299,299,295
23,1,1,5,5,2,4,4,3,3,4,2,5,5,5,5,5,5,5,3,3,3,3,1,2,2,3,1,2,3,1,2,3,4,4,4,4,2,3,3,3,2,1,1,2,2,2,3,3,2,2,3,4,3,4,62,64,75,286,313,330
24,1,2,4,4,3,4,3,3,4,2,4,4,4,5,2,4,3,3,4,3,4,2,2,3,1,3,4,4,4,3,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,5,5,5,94,94,90,418,381,372
25,1,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,1,1,4,3,2,2,2,5,5,5,5,5,5,5,3,4,3,3,4,4,2,3,3,4,4,4,4,4,2,2,2,3,4,5,5,5,82,100,90,343,511,372
26,1,2,3,3,3,4,3,2,3,1,3,4,4,5,3,4,5,4,5,3,3,2,2,2,2,2,2,3,2,2,3,3,3,2,2,2,3,2,3,2,2,1,1,2,2,2,2,1,2,2,2,3,3,3,67,49,40,299,288,266
27,1,2,4,4,3,4,4,3,3,4,4,4,-1,3,3,4,3,3,3,2,3,1,5,3,3,4,4,4,3,3,4,3,2,3,3,4,4,4,4,4,4,3,3,4,4,3,2,2,3,3,3,5,5,4,82,76,70,343,334,321
28,1,1,5,4,3,4,3,5,3,5,5,5,5,5,2,4,5,4,2,2,4,4,5,3,3,3,3,3,3,5,3,4,4,2,3,3,3,2,3,3,3,2,2,2,2,3,2,3,2,2,2,4,2,3,70,58,35,307,304,254
29,1,1,4,4,4,3,3,4,4,3,4,4,4,5,3,4,3,4,2,3,3,2,3,2,3,3,3,3,3,4,2,3,3,2,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,2,4,4,3,51,70,65,260,323,312
30,1,1,5,4,4,5,3,3,3,2,2,2,2,2,4,3,3,3,3,1,3,3,4,3,3,4,2,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,2,3,3,2,3,5,5,4,85,97,70,355,400,321
