SID,SCHID,GENDER,Y2S2_1,Y2S2_2,Y2S2_3,Y2S2_4,Y2S2_5,Y2S2_6,Y2S2_7,Y2S2_8,Y2S2_9,Y2S2_10,Y2S2_11,Y2S2_12,Y2S2_13,Y2S2_14,Y2S2_15,Y2S2_16,Y2S2_17,Y2S2_18,Y2S2_19,Y2S2_20,Y2S2_21,Y2S2_22,Y2S2_23,Y2S2_24,Y2S2_25,Y2S2_26,Y2S2_27,Y2S2_28,Y2S2_29,Y2S2_30,Y2L3_1,Y2L3_2,Y2L3_3,Y2L3_4,Y2L6_15,Y2L6_16,Y2L6_17,Y2L6_18,Y2L6_19,Y2L6_5,Y2L6_6,Y2L6_7,Y2L6_8,Y2L6_9,Y2L6_10,Y2L6_11,Y2L6_12,Y2L6_13,Y2L6_14,Y2S36_1,Y2S36_2,Y2S36_3,Y2KOR_S,Y2ENG_S,Y2MAT_S,Y2KOR_V,Y2ENG_V,Y2MAT_V
2326,48,1,5,5,3,5,3,1,3,1,3,3,3,3,3,3,3,3,2,1,3,1,1,1,1,1,1,1,2,1,1,2,3,3,3,4,4,4,4,4,4,2,2,2,2,2,2,2,2,3,3,-1,1,-1,58,37,35,391,366,374
2327,48,1,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,4,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,5,5,5,95,46,85,562,389,467
2328,48,1,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,-1,5,-1,73,94,90,433,503,480
2329,48,2,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,3,4,4,4,2,2,2,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,5,89,94,90,501,503,480
2330,48,2,5,4,3,4,4,4,4,4,5,5,5,5,5,5,5,4,4,3,3,3,4,3,3,4,4,3,5,3,4,4,3,3,2,3,3,3,3,2,3,3,3,2,3,2,2,2,2,2,3,4,3,4,68,55,60,415,407,423
2331,48,2,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,2,2,3,2,2,1,3,3,1,5,5,5,3,2,2,2,3,3,3,3,3,1,1,1,1,1,3,3,3,3,3,5,5,1,39,37,20,335,366,289
2332,48,1,4,4,4,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,5,4,3,2,3,3,3,3,2,2,1,1,2,1,1,1,1,1,1,1,4,2,2,63,67,35,399,428,374
2333,48,1,3,3,3,3,4,3,3,3,4,4,4,3,4,4,4,4,3,2,4,2,2,3,4,4,3,3,5,2,2,2,3,2,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,5,5,5,92,97,100,526,534,637
2334,48,1,3,4,4,4,5,5,5,3,3,4,4,4,4,4,3,4,3,3,2,3,4,3,2,3,4,3,4,4,4,4,3,2,2,2,3,3,2,3,4,2,3,2,3,2,1,2,2,1,2,4,3,2,22,19,30,241,264,358
2335,48,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2336,48,1,2,3,2,3,2,3,1,2,4,5,5,3,4,1,1,1,2,2,3,3,1,3,2,3,4,4,5,3,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,5,2,5,58,43,60,383,382,423
2337,48,1,3,3,3,4,3,4,3,4,3,2,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,2,3,2,2,3,3,3,3,3,1,1,1,2,2,2,2,2,2,2,1,1,1,24,64,50,269,423,406
2338,48,2,3,3,3,3,3,2,3,2,4,4,4,3,3,4,3,2,3,3,2,2,1,1,1,2,2,3,3,2,2,3,2,2,2,3,3,2,3,3,2,1,1,2,1,2,2,2,3,3,3,4,5,1,71,61,30,424,418,358
2339,48,1,5,4,4,4,4,4,3,1,2,4,5,5,5,5,5,5,4,5,2,2,2,2,2,4,3,4,5,5,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2,3,3,2,3,2,2,-1,4,-1,56,70,45,383,434,397
2340,48,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,4,3,3,3,4,4,4,3,3,3,3,3,2,3,2,2,4,3,3,2,2,4,3,3,2,2,4,2,2,5,5,5,77,76,45,443,445,397
2341,48,2,2,3,2,1,3,4,4,2,3,2,2,4,5,4,4,3,3,2,2,3,4,4,3,3,2,3,4,2,2,3,3,3,3,3,3,4,4,4,4,2,2,2,2,2,2,2,2,2,3,4,4,4,55,31,30,383,344,358
2342,48,2,5,4,4,4,4,2,4,2,5,4,5,5,5,5,5,5,3,3,4,2,2,4,5,5,3,3,5,2,4,3,4,4,3,4,3,3,2,2,3,3,2,4,3,3,4,4,4,4,4,5,5,4,74,70,65,433,434,431
2343,48,2,4,3,4,4,4,2,3,5,2,2,3,3,2,3,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,3,2,2,2,2,2,2,3,4,3,2,2,2,2,2,1,1,1,1,1,5,3,3,27,22,30,269,275,358
2344,48,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,4,4,3,4,3,4,3,3,3,3,3,2,2,3,3,3,2,2,2,3,3,5,2,5,68,52,30,415,401,358
2345,48,2,5,5,5,5,5,5,4,4,4,3,3,2,4,3,1,2,3,4,5,5,4,4,4,3,5,4,4,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,3,61,58,35,399,412,374
2346,48,2,5,5,5,5,5,2,3,2,5,5,5,5,5,5,3,5,3,4,1,3,2,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,1,2,2,2,2,1,2,5,4,1,39,19,10,335,264,288
2347,48,2,5,5,5,5,4,4,3,4,4,5,5,5,5,5,5,5,3,2,1,1,1,1,1,2,3,1,2,1,1,5,3,2,2,4,3,2,3,3,3,2,2,1,1,2,2,2,1,1,2,4,3,1,58,31,20,383,344,289
